Jrk. nr	Autor	Pealkiri	sarja nimetus	köide	zanr	kirjastus	aasta	kogus	Laenutatud
1238	Sandra Brown	Indiaanipealiku pantvang	Väikesed lilledega armastusromaanid		Taskuarmastus	Ersen	1998		
1239	Patricia Olney	Jade'I ônnemäng	Lowesept		Taskuarmastus	Ersen	1999		
1240	Caragh O'Brien	Pôhjatäht tôuseb	Lowesept		Taskuarmastus	Ersen	1999		
1241	Raenne Thayne	Tulevärk	Lowesept		Taskuarmastus	Ersen	1999		
1242	Suzanne Brockmann	Kehakeel	Lowesept		Taskuarmastus	Ersen	1999		
1243	Catherine Mulvany	Kirkal keskööl	Lowesept		Taskuarmastus	Ersen	1998		
1244	Kathy Disanto	Moondamisülikonnas jahimees	Lowesept		Taskuarmastus	Ersen	1999		
1245	Jill Shalvis	Täielik andumine	Lowesept		Taskuarmastus	Ersen	1998		
1246	Charlotte Hughes	Viimane Lôunaosariikide iludus	Lowesept		Taskuarmastus	Ersen	2000		
1247	Eve Gaddy	Ebamugav lähedus	Lowesept		Taskuarmastus	Ersen	1998		
1248	Kathy Lynn Emerson	Suhteliselt vôôrad	Lowesept		Taskuarmastus	Ersen	1998		
1249	Peggy Webb	Nägus ja nurjatu	Lowesept		Taskuarmastus	Ersen	1998		
1250	Fayrene Preston	Damaroni märk : Lion	Lowesept		Taskuarmastus	Ersen	1998		
1251	Kristen Robinette	Saagijahil	Lowesept		Taskuarmastus	Ersen	1998		
1252	Suzanne Brockmann	Piisavalt aega armastuseks	Lowesept		Taskuarmastus	Ersen	1998		
1253	Maris Soule	Tormivarjus	Lowesept		Taskuarmastus	Ersen	1998		
1254	Shauna Michaels	Üle tipu			Taskuarmastus	Ersen	1999		
1255	Marina Francis	Valed			Taskuarmastus	Odamees	1998		
1256	Brooke Hastings	Mündi kaks külge			Taskuarmastus	Odamees	1998		
1257	Christine Flynn	Üksildane r9ütel			Taskuarmastus	Odamees	1998		
1258	Suzanne Forster	Härra üksildane			Taskuarmastus	Odamees	1998		
1259	Freda Michell	Ennatlik samm			Taskuarmastus	Singoni	1998		
1260	Alexandre Dumas	Kameeliadaam			Taskuarmastus	Eesti Raamat	1992		
1261	Vicki Baum	Grand hotell			Taskuarmastus	Monokkel	1992		
1262	Berta Ruck	Noorim Veenus			Taskuarmastus	Monokkel	1992		
1263	Linda Howard	Surmatoov saladus	New York Times'I bestseller		kriminull (sinine)	Ersen	1999		
1264	Susan Lewis	"Tantsi, kuni veel saad"	New York Times'I bestseller		kriminull (sinine)	Ersen	1999		
1265	Bethany Campbell	Ära räägi vôôrastega	New York Times'I bestseller		kriminull (sinine)	Ersen	1998		
1266	Theresa Weir	Halb karma	New York Times'I bestseller		kriminull (sinine)	Ersen	2000		
1267	Catherine Coulter	Elu ja surma piiril	New York Times'I bestseller		kriminull (sinine)	Ersen	2000		
1268	Judith McNaught	Öised sosinad	New York Times'I bestseller		kriminull (sinine)	Ersen	2000		
1269	Judith McNaught	Sissetungija	New York Times'I bestseller		kriminull (sinine)	Ersen	2000		
1270	Sandra Brown	Sônul väljendamatu	New York Times'I bestseller		kriminull (sinine)	Ersen	2000		
1271	Sandra Brown	Kiivalt varjatud saladused	New York Times'I bestseller		kriminull (sinine)	Ersen	1999		
1272	Sheila Rann	Kôik armastuse eest	New York Times'I bestseller		kriminull (sinine)	Ersen	1999		
1273	Catherine Coulter	Labürint	New York Times'I bestseller		kriminull (sinine)	Ersen	1998		
1274	Jane Heller	Môrvakatse merel	New York Times'I bestseller		kriminull (sinine)	Ersen	1999		
1275	Cynthia Victor	Tähtsaim kôigest	New York Times'I bestseller		kriminull (sinine)	Ersen	1999		
1276	Sandra Brown	Embus päikeseloojangul	Menukirjanike Sari		kriminull	Ersen	1985		
1277	Wolfgang Holbein	Hagen Trojenist	Niebelungide laulu ainetel		romaan	Olion	1999		
1278	Stuart Woods	Fiasko			kriminull	Ersen	1999		
1279	Catherine Coulter	Märklaud	Menukirjanike Sari		kriminull	Ersen	2000		
