Jrk. nr	Autor	Pealkiri	sarja nimetus	köide	zanr	kirjastus	aasta	kogus	Laenutatud
1	Honor de Balzac	Inimlik komöödia	Honor od Balzac valitud teosed	1 köide	romaan				
2	Honor de Balzac	Inimlik komöödia	Honor od Balzac valitud teosed	2 köide	romaan				
3	Honor de Balzac	Inimlik komöödia	Honor od Balzac valitud teosed	3 köide	romaan				
4	Honor de Balzac	Inimlik komöödia	Honor od Balzac valitud teosed	4 köide	romaan				
5	Honor de Balzac	Inimlik komöödia	Honor od Balzac valitud teosed	5 köide	romaan				
6	Honor de Balzac	Inimlik komöödia	Honor od Balzac valitud teosed	6 köide	romaan				
7	Honor de Balzac	Inimlik komöödia	Honor od Balzac valitud teosed	7 köide	romaan				
8	Honor de Balzac	Inimlik komöödia	Honor od Balzac valitud teosed	8 köide	romaan				
9	Honor de Balzac	Inimlik komöödia	Honor od Balzac valitud teosed	9 köide	romaan				
10	Honor de Balzac	Inimlik komöödia	Honor od Balzac valitud teosed	10 köide	romaan				
11	Honor de Balzac	Inimlik komöödia	Honor od Balzac valitud teosed	11 köide	romaan				
12	Honor de Balzac	Inimlik komöödia	Honor od Balzac valitud teosed	12 köide	romaan				
13	Honor de Balzac	Inimlik komöödia	Honor od Balzac valitud teosed	13 köide	romaan				
14	Honor de Balzac	Antsakad lood	Honor od Balzac valitud teosed	14 köide	romaan				
15	Honor de Balzac	Valitud kirjad	Honor od Balzac valitud teosed	15 köide	romaan				
16	Erich Maria Remarque	Armasta oma ligimest			romaan				
17	Erich Maria Remarque	Arc de Triomphe			romaan				
18	Erich Maria Remarque	Kolm sõpra			romaan				
19	Erich Maria Remarque	"Aeg antud elada, aeg antud surra"		2. trükk	romaan				
20	Erich Maria Remarque	Varjatud paradiis			romaan				
21	Erich Maria Remarque	Lissaboni öö			romaan				
22	Erich Maria Remarque	Läänerindel muutustetta			romaan	Eesti Raamat	1983	2 tk	
23	Erich Maria Remarque	"Aeg antud elada, aeg antud surra"			romaan	ERK	1959		
24	Julius Verne	Draama Liivimaal		2. trükk	romaan			2 tk	
25	Ernest Hemingway	Ja päike tõuseb		2. trükk	romaan			2. tk.	
26	Ernest Hemingway	Kellele lüüakse hingekella		2. trükk	romaan	Eesti Raamat	1970	2 tk	
27	autorite kollektiiv	Suur Kooliteatmik			teatmik	Ersen	2001		
28	Julius Verne	Lõuna-Aafrika savannides	Kuldsule põnevusromaan		romaan				
29	Karl May	Winnetou jälgedes	Kupra kuldraamat	1. raamat	romaan				
30	Karl May	Winnetou	Kupra kuldraamat	2. raamat	romaan				
31	J.F. Cooper	Viimane mohikaanlane	Nahksuka jutud	2. raamat	romaan				
32	Mayne Reid	Peata ratsanik	Seiklusjutte maalt ja merelt		romaan				
33	J.F. Cooper	Viimane mohikaanlane	Seiklusjutte maalt ja merelt		romaan				
34	J.F. Cooper	Rajaleidja	Seiklusjutte maalt ja merelt		romaan				
35	Geza Gardonyi	Egeri tähed	Seiklusjutte maalt ja merelt		romaan				
36	A.Sinkel	Mõõgaga mõõdetud maa	Seiklusjutte maalt ja merelt		romaan				
37	A. Kazantsev	Polaar uunistus	Seiklusjutte maalt ja merelt		romaan				
38	N. Trublaini	Kuunar  Kolumbus	Seiklusjutte maalt ja merelt		romaan				
39	Karl Reiche	Salajane jõud	Seiklusjutte maalt ja merelt		romaan				
40	R. Fraerman ja P. Zaikin	Golovini elu ja seiklused	Seiklusjutte maalt ja merelt		romaan				
41	V.Jan	Viimase Mere poole	Seiklusjutte maalt ja merelt	2 tk.	romaan				
42	V.Jan	Batu-Khan	Seiklusjutte maalt ja merelt	2 tk.	romaan				
43	V.Jan	Tsingis-Khan	Seiklusjutte maalt ja merelt	2 tk.	romaan				
44	Aleksei Tolstoi	Insener Garini hüperboloid. Aeliita.	Seiklusjutte maalt ja merelt		romaan				
45	I. Jefremov	Andromeeda udukogu	Seiklusjutte maalt ja merelt		romaan				
46	A. Advejenko	Tisza kaldal	Seiklusjutte maalt ja merelt		romaan				
47	W. Scott	Ivanhoe	Seiklusjutte maalt ja merelt		romaan				
48	B. Voelkner	Raevuka oja org	Seiklusjutte maalt ja merelt		romaan				
49	W. Scott	Rob Roy	Seiklusjutte maalt ja merelt		romaan				
50	Selma Lagerlöf	Nils Holgersoni imelik reis läbi Rootsi  	Seiklusjutte maalt ja merelt		romaan				
51	Hector Malot	Perekonnata	Seiklusjutte maalt ja merelt		romaan				
52	A. Beljajev	Amfiibinimene. Maailmavalitseja	Seiklusjutte maalt ja merelt	2 tk.	romaan				
53	V. Palman	Erzoti kraater	Seiklusjutte maalt ja merelt		romaan				
54	Strugatski	Purpurpunaste pilvede maa	Seiklusjutte maalt ja merelt		romaan				
55	W. Legere	Ma olin Timbuktus	Seiklusjutte maalt ja merelt		romaan				
56	Ludwig Renn	Trini	Seiklusjutte maalt ja merelt		romaan				
57	A. Jürgen	Sinine lind	Seiklusjutte maalt ja merelt		romaan				
58	Arthur Conan-Doyle	Kadunud maailm. Maracoti sügavik	Seiklusjutte maalt ja merelt		romaan				
59	V. Kaverin	Kaks kaptenit	Seiklusjutte maalt ja merelt		romaan				
60	V. Vassilevski R. Stilmark	Pärija Kalkutast	Seiklusjutte maalt ja merelt		romaan				
61	Julius Verne	Kapten Hatterase seiklused	Seiklusjutte maalt ja merelt		romaan				
62	Julius Verne	20 000 ljööd vee all	Seiklusjutte maalt ja merelt		romaan				
63	Alexander Dumas	Kolm musketäri	Seiklusjutte maalt ja merelt		romaan				
64	Alexander Dumas	20 aastat hiljem	Seiklusjutte maalt ja merelt		romaan				
65	Alexander Dumas	10 aastat hiljem	Seiklusjutte maalt ja merelt		romaan				
66	Alexander Dumas	10 aastat hiljem	Seiklusjutte maalt ja merelt		romaan				
67	V. A. Orbutzev	Kesk-Aasia avarustes	Seiklusjutte maalt ja merelt		romaan				
68	Julius Verne	Kapten Granti lapsed	Seiklusjutte maalt ja merelt		romaan				
69	Robert Louis Stevenson	Must nool	Seiklusjutte maalt ja merelt		romaan				
70	R. Haggard	Kuningas Saalomoni kaevandused. Seeba kuninganna sõrmus	Seiklusjutte maalt ja merelt		romaan				
71	Mark Twain	Tom Sawyer. Huckelberry Finn  	Seiklusjutte maalt ja merelt		romaan				
72	autorite kollektiiv	Kes sa oled koera aastal sündinu			populaarteaduslik				
73	A. Vandenbusche	Numberoloogiast			populaarteaduslik				
74	Mait Metsanurk	Tee algul		1. raamat	mälestused				
75	autorite kollektiiv	Näidendid			näidendid				
76	Einar Maasik	August Anikatsi  katsumine			romaan				
77	Andres Vanapa	Vale sadama jutud			jutte				
78	Hugo Raudsepp	Tillereinu peremehed			Komöödia				
79	Hugo Angervaks	Ajaproov			romaan				
80	Fridebert Tuglas	Marginaalia			Mõtteid ja meeleolusid				
81	Aimee Beekman	Peavari			romaan				
82	Aimee Beekman	Sugupuu			romaan				
83	Aimee Beekman	Valitud romaanid		1. raamat	romaan				
84	Aimee Beekman	Valitud romaanid		2. raamat	romaan				
85	Aimee Beekman	Valitud romaanid		3. raamat	romaan				
86	Fridebert Tuglas	Vabajooks			romaan				
87	Karl August Hindrey	Kill Martus koolis			Noorsoojutt				
88	Vello Latik	Orkester			Triptühhon				
89	autorite kollektiiv	"Meri, mehed, laev ja linnud"			 Eesti mereproosa				
90	Hans Laar	"Pirnipuu, pronks ja marmor"	Jutustus A. Adamsoni Paldiski aastaist		romaan				
91	Albert Kivikas	Nimed marmor tahvlil	Eesti romaanivara		romaan				
92	autorite kollektiiv	Kindlustusselts Eesti kalender 1932			Kalender				
93	Eduard Vilde	Pisuhänd			Komõõdia				
94	Indrek Prodel	Kuskil on midagi viltu			Pildivihik				
95	August Mälk	Ranna jutud	Novelle Saaremaa Läänerannalt		novellid				
96	Juhan Smuul	"Jaapani meri, detsember"	Maailm ja mõnda		reisikiri				
97	Juhan Smuul	Muhulaste imelikud juhtumised…	Üks Norra mere kiri		reisikiri				
98	Juhan Smuul	Kirjad Sõgedate külast. Muhulaste imelikud juhtumised…		3. trükk	romaan				
99	Ilmar Sikemäe	Kirjad Vargamäelt		2. täiustatud trükk		Eesti Raamat	1977		
100	Jaan Kross	Professor Martensi ärasõit			Ajalooline romaan				
101	Jaan Kross	Rakvere romaan			romaan	Eesti Raamat	1982		
102	Jaan Kross	Keisri hull			Ajalooline romaan				Karmen Talur 02.03.2009
103	Jaan Kross	Vastutuulelaev			romaan				
104	Leida Kibuvits	Soomustüdruk	Eesti romaanivara		romaan				
105	Leida Kibuvits	Lepatriinupunane			novell				
106	August Gailit	Toomas Nipernaadi			romaan novellides				
107	Johann Semper	Kivi kivi peale	Eesti romaanivara						
108	Väino Ilus	Kinsli peremehed			romaan				
109	Väino Ilus	Endamisi ja unes			Noortejutt				
110	Väino Ilus	Tuulekülvid			romaan				
111	Osvald Tooming	Maantee läbi metsa			Jutustus				
112	Osvald Tooming	Perekond Kirretid			romaan				
113	Osvald Tooming	Kaksteist aastat			romaan				
114	Enn  Vetemaa	Eesti näkiliste väli määraja			Naiadoloogiline raamat				
115	Egon Rannet	Kivid ja leib		1. raamat	romaan				
116	Egon Rannet ja Vaike Rannet	Kivid ja leib		2. raamat	romaan				
117	Vaike Rannet	Kivid ja leib		3. raamat	romaan				
118	Vaike Rannet	Kivid ja leib		4. raamat	romaan				
119	Jüri Tuulik	Haab			Külaproosa				
120	Jüri Tuulik	Külatraagik			Kogumik				
121	Richard Roht	Elutee	Eesti romaanivara	2. trükk	romaan				
122	Valmar Adams	Esta astub ellu			Esseeromaan				
123	August Mälk	Kevadine maa			romaan				
124	Enn Kippel	Issanda koerad	Eesti romaanivara	2. trükk	romaan				
125	Kark Ristikivi	Hingede öö	Eesti romaanivara		romaan				
126	Albert Kivikas	Nimed marmor tahvlil	Eesti romaanivara		romaan				
127	August Mälk	Taeva palge all	Eesti romaanivara	4. trükk	romaan				
128	Karl Ristikivi	Tuli ja raud	Eesti romaanivara		romaan				
129	August Gailit	Karge Meri	Eesti romaanivara		romaan				
130	Karl Ristikivi	Viimane linn	Kroonikate triloogia		romaan				
131	Karl Ristikivi	Põlev lipp	Kroonikate triloogia		romaan				
132	Karl Ristikivi	Surma ratsanikud	Kroonikate triloogia		romaan				
133	Christiane Heggan	Ära kunagi ütle ei iial	New York Times'i bestseller		romaan	Ersen			
134	Ken Follet	Koodi võti on Rebeccas	New York Times'i bestseller		romaan	Ersen			
135	Sandra Brown	Peegelpilt	New York Times'i bestseller		romaan	Ersen			
136	Sandra Brown	Eksklusiivne lugu	New York Times'i bestseller		romaan	Ersen			
137	Catherine Coulter	Peituse teel	New York Times'i bestseller		romaan	Ersen			
138	Louise Bagshawe	Karjääri tüdrukud	New York Times'i bestseller		romaan	Ersen			
139	Nora Roberts	Kuum jää	New York Times'i bestseller		romaan	Ersen			
140	Sandra Brown	"Kus suitsu, seal…"	New York Times'i bestseller		romaan	Ersen			
141	Sandra Brown	Tunnistaja	New York Times'i bestseller		romaan	Ersen			
142	Christiane Heggan	Pole halba ilma heata	New York Times'i bestseller		romaan	Ersen			
143	Linda Barlow	Mälestusese	New York Times'i bestseller		romaan	Ersen			
144	Judith McNaught	Topeltmoraal	New York Times'i bestseller		romaan	Ersen			
145	Nora Roberts	Pühad patud	New York Times'i bestseller		romaan	Ersen			
146	Sandra Brown	Vastlapäev	New York Times'i bestseller		romaan	Ersen			
147	Sandra Brown	Silpmõistatus	New York Times'i bestseller		romaan	Ersen			
148	Una-Mary Barker	Paleeafäär	New York Times'i bestseller		romaan	Ersen			
149	Sandra Brown	Prantsuse siid	New York Times'i bestseller		romaan	Ersen			
150	Heather Graham Pozzessare	Seal kaugel New Orleansis	New York Times'i bestseller		romaan	Ersen			
151	Linda Barlow	Reedetud usaldus	New York Times'i bestseller		romaan	Ersen			
152	Bern Michaels	Pühad	New York Times'i bestseller		romaan	Ersen			
153	Sandra Brown	Alibi	New York Times'i bestseller		romaan	Ersen			
154	Mary-Rose Hayes	Winteri perekonna naised	New York Times'i bestseller		romaan	Ersen			
155	Alexandra Thorne	Südamete aeg	New York Times'i bestseller		romaan	Ersen			
156	Jayne Ann Krentz	Sügavad veed	New York Times'i bestseller		naiste krimka	Ersen	2000		
157	Jackie Collins	Võimalused		3. raamat	romaan				
158	Jackie Collins	Võimalused		2. raamat	romaan				
159	Sandra Brown	Heitlused Heavenis	Bestseller		romaan				
160	Nora Roberts	Unistuse täitumine	Ajaviiteromaan		romaan				
161	Nora Roberts	Unistusi hoides	Ajaviiteromaan		romaan				
162	Nora Roberts	Julgus unistada	Ajaviiteromaan		romaan				
163	John Grisham	Partner			romaan				
164	Beatrice Small	Blaze Wyndham	Pruun armastus		romaan				
165	Lisa Kleypas	Sest sa oled minu oma	Pruun armastus		romaan				
166	Suzanne Robinson	Hauka süda	Pruun armastus		romaan				
167	Beatrice Small	Sultani lemmiknaine	Pruun armastus		romaan				
168	Jane Feather	Edevus	Pruun armastus		romaan				
169	Suzanne Robinson	Kihlus	Pruun armastus		romaan				
170	Jane Feather	Pahe	Pruun armastus		romaan				
171	Deborah Camp	Kange mehe naine	Pruun armastus		romaan				
172	Julie Garwood	Rooside eest	Pruun armastus		romaan				
173	Francois Mauriac	Endise aja nooruk	Sari NL	2 tk.	romaan				
174	Knut Hamsun	Maa õnnistus	Sari NL		romaan				
175	William Golding	Kärbeste Jumal	Sari NL		romaan				
176	John Galsworthy	Forsytide saaga	romaan	1. raamat	romaan				
177	John Galsworthy	Forsytide saaga	romaan	2. raamat	romaan				
178	John Galsworthy	Forsytide saaga	romaan	3. raamat	romaan				
179	John Galsworthy	Kaasaegne komöödia	romaan	1. raamat	romaan				
180	John Galsworthy	Kaasaegne komöödia	romaan	2. raamat	romaan				
181	John Galsworthy	Kaasaegne komöödia	romaan	3. raamat	romaan				
182	John Galsworthy	Peatüki lõpp	romaan	1. raamat	romaan				
183	John Galsworthy	Peatüki lõpp	romaan	2. raamat	romaan				
184	Julia Hillpatric	Tuulest viidud ja Scarleti järg Rhett Buttler	romaan		romaan				
185	Margaret Mitchell	Tuulest viidud  	romaan	1. raamat	romaan				
186	Margaret Mitchell	Tuulest viidud  	romaan	2. raamat	romaan				
187	Alexandra Ripley	Scarlett	romaan	1. raamat	romaan				
188	Alexandra Ripley	Scarlett	romaan	2. raamat	romaan				
189	Alexandra Ripley	Scarlett	romaan	3. raamat	romaan				
190	Alexandra Ripley	Scarlett	romaan	4. raamat	romaan				
191	Julia Hillpatric	Scarleti viimane armastus	romaan		romaan				
192	Victor Hugo	Hüljatud	romaan	1. raamat	romaan				
193	Victor Hugo	Hüljatud	romaan	2. raamat	romaan				
194	Honore de Balzac	Kurtisanide hiilgus ja viletsus	Tammeleht		romaan				
195	William Mackepeace Thackeray	Henry Esmond	Tammeleht	1. raamat	romaan				
196	William Mackepeace Thackeray	Henry Esmond	Tammeleht	2. raamat	romaan				
197	Stendhal	Punane ja must	Tammeleht		romaan				
198	Stendhal	Parma klooster	Tammeleht		romaan				
199	Nikolai Gogol	Surnud hinged	Varamu		romaan				
200	Gustane Flaubert	Tundekasvatus	Varamu		romaan				
201	Frans Eemil Sillanpää	Noorena uinunud. Inimelu võlu ja vaev	Varamu		romaan				
202	Henryk Sienkiewics	Ristirüütlid	Varamu		romaan				
203	Oscar Wilde	Dorian Grey portree	Varamu		romaan				
204	Henry James	Daami portree	Varamu		romaan				
205	Lion Feuchtwanger	Goya	Suuri sõnameistreid		romaan				
206	Lion Feuchtwanger	Juudi sôda			romaan	Ilukirjandus ja kunst	1946		
207	Lion Feuchtwanger	Vennad Lautensackid			romaan	Eesti Raamat	1977		
208	Fjodor Dostojevski	Kuritöö ja karistus	Suuri sõnameistreid		romaan				
209	Roger Martin du Gard	Perekond Thibault	Suuri sõnameistreid	1. raamat	romaan				
210	Roger Martin du Gard	Perekond Thibault	Suuri sõnameistreid	2. raamat	romaan				
211	Roger Martin du Gard	Perekond Thibault	Suuri sõnameistreid	3. raamat	romaan				
212	Roger Martin du Gard	Perekond Thibault	Suuri sõnameistreid	4. raamat	romaan				
213	Heinrich Mann	Kuningas Henri 4. noorus	Suuri sõnameistreid		romaan			2 tk	
214	George Sand	Consuelo	Suuri sõnameistreid	1. raamat	romaan				
215	George Sand	Consuelo	Suuri sõnameistreid	2. raamat	romaan				
216	Fjodor Gladkov	Energia	Suuri sõnameistreid		romaan				
217	Henry Barbarosse	Selgus	Suuri sõnameistreid		romaan				
218	Martin Andersen Nexo	Vallutaja Peile	Suuri sõnameistreid	1. raamat	romaan				
219	Martin Andersen Nexo	Vallutaja Peile	Suuri sõnameistreid	2. raamat	romaan				
220	Gustave Flaubert	Salambo	Suuri sõnameistreid		romaan				
221	Victor Hugo	Jumalaema kirik Pariisis	Suuri sõnameistreid		romaan			2 tk	
222	Mihhail Solohhov	Vaikne Don	Suuri sõnameistreid	1. raamat	romaan				
223	Mihhail Solohhov	Vaikne Don	Suuri sõnameistreid	2. raamat	romaan				
224	Boleslaw Prus	Nukk	Suuri sõnameistreid	1. raamat	romaan				
225	Boleslaw Prus	Nukk	Suuri sõnameistreid	2. raamat	romaan				
226	Sinclair Lewis	Arrowsmith	Suuri sõnameistreid		romaan				
227	Leonid Leonov	Vene mets	Suuri sõnameistreid		romaan				
228	Selma Lagerlöf	Gösta Berlingi saaga	Suuri sõnameistreid		romaan				
229	Alois Jirasek	Kõikide vastu	Suuri sõnameistreid		romaan				
230	Tobias George Smollet	Roderick Randomi seiklused	Suuri sõnameistreid		romaan				
231	Romain Rolland	Jean Christophe	Suuri sõnameistreid	1. raamat	romaan				
232	Romain Rolland	Jean Christophe	Suuri sõnameistreid	2. raamat	romaan				
233	Romain Rolland	Jean Christophe	Suuri sõnameistreid	3. raamat	romaan				
234	Johan Wolfgang Goethe	Wilhelm meisteri õpiaastad	Suuri sõnameistreid	1. raamat	romaan				
235	Johan Wolfgang Goethe	Wilhelm meisteri õpiaastad	Suuri sõnameistreid	2. raamat	romaan				
236	Thomas Mann	Seikleja Felix Krulli Pihtimused	Suuri sõnameistreid		romaan				
237	Stendhal	Parma klooster	Suuri sõnameistreid		romaan				
238	Rabindranath Tagore	Laevahukk	Suuri sõnameistreid		romaan				
239	Charlotte Bronte	Jane Eyre	Suuri sõnameistreid		romaan				
240	William Mackepeace Thackeray	Edevuse Laat	Suuri sõnameistreid	1. raamat	romaan				
241	William Mackepeace Thackeray	Edevuse Laat	Suuri sõnameistreid	2. raamat	romaan				
242	John Galsworthy	Forsytide saaga	Suuri sõnameistreid	1. raamat	romaan			2 tk	
243	John Galsworthy	Forsytide saaga	Suuri sõnameistreid	2. raamat	romaan			2 tk	
244	John Galsworthy	Forsytide saaga	Suuri sõnameistreid	3. raamat	romaan			2 tk	
245	Zsigmond Moricz	Sugulased	Suuri sõnameistreid		romaan			2 tk	
246	Ivan Vazov	Ikke all	Suuri sõnameistreid		romaan			2 tk	
247	Theodore Dreiser	Õde Carrie	Suuri sõnameistreid		romaan			2 tk	
248	Aleksei Tolstoi	Kannatuste rada	Suuri sõnameistreid	1. raamat	romaan			2 tk	
249	Aleksei Tolstoi	Kannatuste rada	Suuri sõnameistreid	2. raamat	romaan			2 tk	
250	Aleksei Tolstoi	Kannatuste rada	Suuri sõnameistreid	3. raamat	romaan			2 tk	
251	Halldor Kiljan Laxness	Iseseisvad inimesed	Suuri sõnameistreid		romaan			2 tk	
252	Anton Hansen Tammsaare	Sõna mõte inimene	Lühiuurimus		publitsistika				
253	Anton Hansen Tammsaare	Kogutud teosed	Kogumik	7. raamat					
254	Anton Hansen Tammsaare	Kogutud teosed	Kogumik	8. raamat					
255	Anton Hansen Tammsaare	Kogutud teosed	Kogumik	9. raamat					
256	Anton Hansen Tammsaare	Kogutud teosed	Kogumik	10. raamat					
257	Anton Hansen Tammsaare	Kogutud teosed	Kogumik	11. raamat					
258	Anton Hansen Tammsaare	Tõde ja õigus		1. raamat	romaan				
259	Anton Hansen Tammsaare	Tõde ja õigus		4. raamat	romaan				
260	Anton Hansen Tammsaare	Tõde ja õigus		5. raamat	romaan				
261	Anton Hansen Tammsaare	"Miniatuure, novelle, jutustusi  "			jutte				
262	Anton Hansen Tammsaare	Jutustused			jutte				
263	Anton Hansen Tammsaare	Valitud artiklid							
264	Anton Hansen Tammsaare	Kõrbeoja peremees			romaan				
265	Anton Hansen Tammsaare	Pähklipüha			romaanikatkendid				
266	Juhuan Liiv	Sinuga ja sinuta							
267	Juhuan Liiv	Teosed	Valitud teosed						
268	Juhan liiv	Proosa			Proosa				
269	Lydia Koidula	Teosed		1. raamat	Proosa				
270	Lydia Koidula	Teosed		2. raamat	Proosa				
271	Eduard Vilde	Kui tuli tähendus			Proosa				
272	Eduard Vilde	Jutustused		1. raamat	Proosa				
273	Eduard Vilde	Jutustused		2. raamat	Proosa				
274	Eduard Vilde	Kuj Anija mehed Tallinas käisid			Proosa				
275	Eduard Vilde	Mahtra sõda			Proosa				
276	Eduard Vilde	Kolmkümmend aastat armastus	Eesti novellivara						
277	August Jakobson	Valitud teosed		10. raamat	romaan				
278	August Jakobson	Valitud teosed		16. raamat	romaan				
279	August Jakobson	Valitud teosed		17. raamat	romaan				
280	August Jakobson	Valitud teosed		18. raamat	romaan				
281	Ernst Särgava-Peterson	Rahvavalgustaja	Teosed						
282	Friedebert Tuglas	Kogutud novellid		1. raamat	novellid				
283	Friedebert Tuglas	Väike Illimar	Ühe lapsepõlve lugu		romaan				
284	Friedebert Tuglas	novelliauhinnaga premeeritud töid (1971-1975)		1. raamat	novellid				
285	Friedebert Tuglas	novelliauhinnaga premeeritud töid (1981-1985)		2. raamat	novellid				
286	Ernst Särgava-Peterson	"Lähme linna kirjutama,oma elu kergendama"		1. raamat	romaan				
287	Ernst Särgava-Peterson	"Lähme linna kirjutama,oma elu kergendama"		2. raamat	novellid				
288	Juhan Sütiste	Teosed		2. raamat	"Poeemid,publistika,dramaturgia"				
289	Richard Roht	Ummiktänav			romaan				
290	Aadu Hint	Tuuline rand		1. raamat	romaan				
291	Aadu Hint	Oma saar			Mereteemaline jutt				
292	Aadu Hint	Tuuline rand  	Kogutud teosed	1. raamat	romaan				
293	Aadu Hint	Tuuline rand  	Kogutud teosed	2. raamat	romaan				
294	Aadu Hint	Tuuline rand	Kogutud teosed	3. raamat	romaan				
295	Aadu Hint	Tuuline rand	Kogutud teosed	4. raamat	romaan				
296	Aadu Hint	Tuuline rand	Kogutud teosed	5. raamat	romaan				
297	Aadu Hint	Kuldnevärav . Tulemees	Kogutud teosed	7. raamat	romaan				
298	Ilmar Jaks	Neptun			romaan				
299	Kati Murutar	Mina ise ju	Otsa Potsa lugu		romaan				
300	Lisa Appiganesi	Hea naine	Ajaviiteromaan		romaan				
301	Elizabeth Shorten	Uus naine	Ajaviiteromaan		romaan				
302	Joanna Trollope	Kirglik mees	Ajaviiteromaan		romaan				
303	Katie Fforde	Elluärganud roos	Ajaviiteromaan		romaan				
304	Judith Michael	Valede võrgus	Ajaviiteromaan		romaan				
305	Maeve Haran	Stseene abielusõjas	Ajaviiteromaan		romaan				
306	Judith Michael	Topeltmäng	Ajaviiteromaan		romaan				
307	Catherine Gaskin	Perekonnaasjad	Ajaviiteromaan		romaan				
308	Judith Gould	Patud	Ajaviiteromaan		romaan				
309	Charlotte Bingham	Kuulda ööbiku laulu	Ajaviiteromaan		romaan				
310	Judith Michael	Kire võimuses	Ajaviiteromaan		romaan				
311	Barbara Erskine	Hay emand	Ajaviiteromaan		romaan				
312	Jill Cooper	Ratsanikud	Ajaviiteromaan		romaan				
313	Jill Cooper	Rivaalid	Ajaviiteromaan		romaan				
314	Anna Murdoch	Suguvõsa nimel	Ajaviiteromaan		romaan				
315	Helen Fielding	Bridget Jonesi päevik	Ajaviiteromaan		romaan				
316	Carol Clewlow	Abielurikkumise käsiraamat naistele	Ajaviiteromaan		romaan				
317	Patricia Scanlan	Korter 3b	Ajaviiteromaan		romaan				
318	Olivia Goldsmith	Mahajäetud naiste käsiraamat	Ajaviiteromaan		romaan				
319	Nicholas Sparks	Päevaraamat	Ajaviiteromaan		romaan				
320	Alice Hoffman	Igapäevane nõiakunst	Ajaviiteromaan		romaan				
321	Caroline Harvey	Pärandatud armastus	Ajaviiteromaan		romaan				
322	Caroline Harvey	Pärandatud armastus kestab	Ajaviiteromaan		romaan				
323	Catherine Gaskin	Fiona	Ajaviiteromaan		romaan				
324	Jean Marsh	Eliotti moemaja	Ajaviiteromaan		romaan				
325	Rosie Thomas	Valge tuvi	Ajaviiteromaan		romaan				
326	Judith Michael	"Kõik, mis sulle kuulub"	Ajaviiteromaan		romaan				
327	Mary Wesley	Paabulinnurakend	Ajaviiteromaan		romaan				
328	Catherine Gaskin	Suursaadiku naised	Ajaviiteromaan	1. raamat	romaan				
329	Catherine Gaskin	Suursaadiku naised	Ajaviiteromaan	2. raamat	romaan				
330	Jeannie Sakof	Vana-aasta õhtu	Ajaviiteromaan		romaan				
331	Nancy Mitford	Armastust otsimas	Ajaviiteromaan		romaan				
332	Maeve Binchy	Vana pöögipuu	Ajaviiteromaan		romaan				
333	Syrell Rogovin Leahy	Armulugu	Ajaviiteromaan		romaan				
334	Robert James Wallner	Sillad jõel	Ajaviiteromaan		romaan				
335	Joanna Trollope	Hispaania armuke	Ajaviiteromaan		romaan				
336	Rosamunde Pilcher	Merikarbiotsijad	Ajaviiteromaan		romaan				
337	Catherine Cookson	Haritud teenijatüdruk	Ajaviiteromaan		romaan				
338	Dorothy Eden	Räägi mulle armastusest	Ajaviiteromaan		romaan				
339	Mary Wesley	Kummelimuru	Ajaviiteromaan		romaan				
340	Daphne du Mauier	Rebecca	Ajaviiteromaan		romaan				
341	Susan Hill	Proua de Winter	Ajaviiteromaan		romaan				
342	Richard Kipling	Kaunemaid lugusid			Lastejutud				
343	Juhan Smuul	Muhu monoloogid			Monoloogid				
344	Enn Kippel	Meelis			Ajalooline noorsoojutt				
345	E. Grin	Tuul lõunast			romaan				
346	Richard Roht	"Lapsed, linnud ja loomad"			Jutustusi noortele				
347	Hermann  Sergo	Meri kutsub			Jutustus				
348	Rudolf Sirge	Teosed	Kogutud teosed	1. raamat	romaan				
349	Rudolf Sirge	Teosed	Kogutud teosed	2. raamat	romaan				
350	Einar Maasik	Maa hingab	Väike tetraloogia		romaan				
351	Mait Metsanurk	Ümera jõel		2. tk.	Ajalooline jutt				
352	Mart Raud	Kolm romaani			romaan				
353	Mart Raud	Jutpõim			romaan				
354	Silvia Rannamaa	Kasuema			romaan				
355	L.G. Meri	Hõbevalge			Reisikiri				
356	Arvo  Valton	Mustamäe armastus			romaan				
357	Friedebert  Tuglas	Väike Illimar	Ühe lapsepõlve lugu		romaan				
358	M.J. Einsen	Esivanemate varandus			romaan				
359	Arvo Krikkmann	"Meri andab, meri ottab"			Vanasõnad				
360	S.Lätt	Eesti rahvanaljandid			Naljajuttud				
361	Luise Vaher	Päeva palge ees. Meelespea lillede hõng.			romaan				
362	Luise Vaher	Emajõe jutustus			romaan				
363	Luise Vaher	Põlev pärisosa			romaan				
364	Luise Vaher	Rindeõde. Tormipöörises.			romaan				
365	Oskar Luts	Mälestusi			Mälestused				
366	Oskar Luts	Suvi	Pildikesi noorpõlvest		romaan				
367	Oskar Luts	Talve	Pildikesi vanaduspõlvest		romaan				
368	Colleen McCullogh	Ogalinnud			armastusromaan				
369	John le Carre	"Plekksepp, rätsep, sõdur, nuhk"	Smiley triloogia	I raamat	psühholoogiline spiooniroomaan				
370	John le Carre	Õilis koolipoiss	Smiley triloogia	II raamat	psühholoogiline spiooniroomaan				
371	John le Carre	Meie mäng			psühholoogiline spiooniroomaan				
372	John le Carre	Väike trummitüdruk			psühholoogiline spiooniroomaan				
373	Harold Robbins	Piraajad			kriminaalromaan				
